roll_number,schoolname,address1,address2,address3,address4,county,local_auth,principalfirstname,principallastname,eircode,latitude,longitude,phone_no,email,schooltype
70400L,Borris Vocational School,Borris,Co Carlow,NULL,NULL,Carlow,Carlow County Council,John,O'Sullivan,R95Y778,52.5972716,-6.9178413,599773155,bvsoffice@gmail.com,Vocational
70410O,Coláiste Eoin,Hacketstown,Co Carlow,NULL,NULL,Carlow,Carlow County Council,Pauline,Egan,R93CY86,52.8611781,-6.5530601,596471198,info@ceh.ie,Vocational
70420R,Tyndall College,Mortarstown,Kilkenny Road,Co. Carlow,NULL,Carlow,Carlow County Council,Gerry,McGill,R93N5V2,52.8185242,-6.9446829,871146087,gerry.mcgill@kilkennycarlowetb.ie,Vocational
70430U,Coláiste Aindriú,Muine Bheag,Co Carlow,NULL,NULL,Carlow,Carlow County Council,.,James Dermody,R21EH27,52.7021103,-6.9506057,599721335,info@colaisteaindriu.ie,Vocational
70440A,Gaelcholáiste Cheatharlach,Easca,Ceatharlach,NULL,NULL,Carlow,Carlow County Council,Madailín,Mhic Lochlainn,R93HY89,52.8368409,-6.9108865,599132130,eolas@gcc-cw.ie,Vocational
70450D,Killarney Community College,New Road,Killarney,Co Kerry,V93NA48,Kerry,Kerry County Council,Stella,Loughnane,V93NA48,52.0624898,-9.5195383,646632164,admin@killarneycc.ie,Vocational
70460G,Community College Killorglin,Killorglin,Co Kerry,NULL,NULL,Kerry,Kerry County Council,Con,Moynihan,V93PY05,52.0999548,-9.7841122,669761168,info@killorglincc.ie,Vocational
70500P,Coláiste na Ríochta,"Upper Church St.,",Listowel,Co. Kerry,NULL,Kerry,Kerry County Council,Stephen,Goulding,V31WD34,52.4483793,-9.4791246,6821023,info@colaistenariochta.ie,Vocational
70520V,Castleisland Community College,Tonbwee,Castleisland,Co.Kerry,NULL,Kerry,Kerry County Council,Carmel,Kelly,V92P528,52.2272523,-9.4566303,667141196,info@castleislandcc.com,Vocational
70540E,Causeway Comprehensive School,Causeway,Tralee,Co Kerry,NULL,Kerry,Kerry County Council,Cathal,Fitzgerald,V92EP46,52.4118438,-9.7360539,667131197,admin@causewaycs.ie,Vocational
70550H,Coláiste Gleann Lí Post Primary School,Clash Road,Tralee,NULL,NULL,Kerry,Kerry County Council,.,Richard Lawlor,V92XR81,52.2724915,-9.6865223,667122552,office@gleannli.ie,Vocational
70560K,Gaelcholáiste Chiarraí,Tobar Mhaigh Dor,Trá Lí,Co Chiarraí,NULL,Kerry,Kerry County Council,Ruairí,Ó Cinnéide,V92N763,52.2667396,-9.6989362,667121650,eolas@gcchiarrai.ie,Vocational
70570N,Scoil Aireagail,Ballyhale,Co. Kilkenny,NULL,NULL,Kilkenny,Kilkenny County Council,Liam,O' Brien,R95AH30,52.478758,-7.2125559,567768632,scoilaireagail@eircom.net,Vocational
70590T,Duiske College,Graignamanagh,Co Kilkenny,NULL,NULL,Kilkenny,Kilkenny County Council,.,Pat Murphy,R95RR94,52.5400938,-6.9573525,599724177,info@duiskecollege.ie,Vocational
70600T,Coláiste Mhuire,Johnstown,Co Kilkenny,NULL,NULL,Kilkenny,Kilkenny County Council,Martin,Gleeson,E41H978,52.7443664,-7.5596697,568831135,info@colaistemhuirekk.ie,Vocational
70610W,City Vocational School,"New Street,",Kilkenny,NULL,NULL,Kilkenny,Kilkenny County Council,Cathy,McSorley,R95HW74,52.6478498,-7.2544498,567722108,info@kcvs.ie,Vocational
70620C,Coláiste Cois Siúire,Mooncoin,Co Kilkenny,NULL,NULL,Kilkenny,Kilkenny County Council,Paul,Duggan,X91Y168,52.2903323,-7.2467168,51895112,info@colaistecoissiuire.ie,Vocational
70640I,Grennan College,Ladywell St,Thomastown,Co Kilkenny,NULL,Kilkenny,Kilkenny County Council,Sean,Og O'Sullivan,R95T959,52.5284997,-7.1433941,567724112,info@grennancollege.ie,Vocational
70641K,Coláiste Pobail Osraí,Bóthar Urmhumhan,Cill Chainnigh,NULL,NULL,Kilkenny,Kilkenny County Council,Cathnia,ó Muircheartaigh,R95X510,52.648616,-7.25182,567764557,oifig@osrai.ie,Vocational
70650L,Athy Community College,Tomard,Athy,Co Kildare,NULL,Kildare,Kildare County Council,Richard,Daly,R14KT50,53.001559,-6.9863983,598631795,mail@athycollege.ie,Vocational
70660O,Curragh Post-Primary School,McSwiney Road,Curragh,Co Kildare,NULL,Kildare,Kildare County Council,Nessa,Doyle,R56FW68,53.1473624,-6.8323535,45441809,nessadoyle@kwetb.ie,Vocational
70670R,Colaiste Lorcain,Castledermot,Co. Kildare,NULL,NULL,Kildare,Kildare County Council,Eric,Gaughran,R14X620,52.9092191,-6.8388259,599144167,info@colaistelorcain.com,Vocational
70680U,St Conleth's Community College,Station Road,Newbridge,Co Kildare,NULL,Kildare,Kildare County Council,Patricia,O'Brien,W12C432,53.1828618,-6.8019049,45431417,stconlethscc@eircom.net,Vocational
70691C,Confey Community College,Confey,Leixlip,Co Kildare,NULL,Kildare,Kildare County Council,Mike,O Byrne,W23VH66,53.3728402,-6.4983019,16245322,info@confeycollege.org,Vocational
70700A,Maynooth Post Primary School,Moyglare Rd,Maynooth,Co Kildare,NULL,Kildare,Kildare County Council,.,Johnny Nevin,W23HC66,53.3847093,-6.5957705,16286060,principal@mpps.ie,Vocational
70710D,Piper's Hill College,Killashee,Naas,Co. Kildare,NULL,Kildare,Kildare County Council,Colm,O'Connor,W91RW14,53.1954453,-6.669876,45897885,info@phcol.ie,Vocational
70720G,St Farnan's Post Primary School,Prosperous,Co. Kildare,NULL,NULL,Kildare,Kildare County Council,Eddie,J Collins,W91W520,53.2866956,-6.7516438,45868152,principal@stfarnans.ie,Vocational
70730J,Ardscoil Rath Iomgháin,Rathangan,Co Kildare,NULL,NULL,Kildare,Kildare County Council,Paul,Murphy,R51DA36,53.2183382,-6.9941143,45528196,admin@ardscoilrathangan.ie,Vocational
70740M,Glenart College,Coolgreaney Rd,Arklow,Co Wicklow,NULL,Wicklow,Wicklow County Council,.,Louise Kearns,Y14YR52,52.7964072,-6.1729309,40232149,glenartcollege@kwetb.ie,Vocational
70750P,Scoil Chonglais,Baltinglass,Co Wicklow,NULL,NULL,Wicklow,Wicklow County Council,Patricia,Gurhy,W91H5XC,52.9378838,-6.7013089,596481449,info@scoilchonglais.ie,Vocational
70760S,Blessington Community College,Naas Rd,Blessington,Co Wicklow,NULL,Wicklow,Wicklow County Council,Kieran,Burke,W91RD30,53.1695369,-6.5391134,45865170,blessingtoncc@kwetb.ie,Vocational
70770V,St Thomas' Community College,Novara Avenue,Bray,Co. Wicklow,NULL,Wicklow,Wicklow County Council,Raymond,Tedders,A98ND89,53.2007951,-6.106714,12829668,bifeenquiries@kwetb.ie,Vocational
70790E,Coláiste Bhríde Carnew,Carnew,Arklow,Co Wicklow,NULL,Wicklow,Wicklow County Council,Linda,Dunne,Y14WA00,52.710198,-6.502342,539426318,cbcarnew@kwetb.ie,Vocational
70800E,St Kevin's Community College,Dunlavin,Co Wicklow,NULL,NULL,Wicklow,Wicklow County Council,Brian,Doran,W91R971,53.0543708,-6.6967596,45406000,stkevinscc@kwetb.ie,Vocational
70810H,Avondale Community College,Rathdrum,Co Wicklow,NULL,NULL,Wicklow,Wicklow County Council,Rosaleen,O'Neill,A67RR26,52.9343558,-6.2361008,40446445,AvondaleCC@kwetb.ie,Vocational
70821M,Coláiste Raithín,Bóthar Bhaile Átha Cliath,Bré,Co Chill Mhantain,NULL,Wicklow,Wicklow County Council,Traolach,Ó Maolchathaigh,nan,53.2096484,-6.109433,12865180,colaisteraithin@kwetb.ie,Vocational
70830N,Ennis Community College,Harmony Row,Ennis,Co Clare,NULL,Clare,Clare County Council,Brian,O Sullivan,V95XD66,52.8470207,-8.9878814,656829432,info@enniscc.ie,Vocational
70840Q,Ennistymon Vocational School,Ennistymon,Ennis,Co Clare,NULL,Clare,Clare County Council,Elizabeth,Flanagan,V95P991,52.9401207,-9.2949715,657071375,envoc.ias@eircom.net,Vocational
70860W,St Michael's Community College,Kilmihil,Co Clare,NULL,NULL,Clare,Clare County Council,Helena,Keane,V15TD30,52.7248033,-9.3211622,659050021,stmichaels@kilmihilcc.com,Vocational
70880F,St Joseph's Community College,Carrigaholt Road,Kilkee,Co. Clare,NULL,Clare,Clare County Council,Theresa,O'Donnellan,V15EK83,52.6744206,-9.6502933,659056446,kilkeecommunitycollege@lcetb.ie,Vocational
70900I,Scariff Community College,Scariff Community College,Drewsborough,Scariff,Co Clare,Clare,Clare County Council,Angela,McNamara,V94Y9W2,52.9027336,-8.5359141,61921083,scc@lcetb.ie,Vocational
70901K,St Anne's Community College,Killaloe,Co Clare,NULL,NULL,Clare,Clare County Council,Aideen,Walsh,V94HP60,52.8030727,-8.4402273,61376257,noreen.buckley@lcetb.ie,Vocational
70910L,"St. Brogan's College, Bandon",Kilbrogan,Bandon,Co Cork,NULL,Cork,Cork County Council,Helen,Cadogan,P72X259,51.7565561,-8.7422537,238841120,admin@sbc.ie,Vocational
70920O,Colaiste Ghobnatan,Baile Mhic Ire,Machromtha,Co Chorcaí,NULL,Cork,Cork County Council,Toirdealbhach,Ó Lionáird,P12X239,51.9392118,-9.1558049,2645058,oifig@colaisteghobnatan.ie,Vocational
70931T,Scoil Mhuire,Béal Atha'n Ghaorthaidh,Co Chorcaí,NULL,NULL,Cork,Cork County Council,Sean,Óg Ó Duinnín,P12YP62,51.8479875,-9.235342,2647050,oifig@scoilmhuirebg.ie,Vocational
70950A,Clonakilty Community College,Clonakilty,Co Cork,NULL,NULL,Cork,Cork County Council,Anne,Dunne,P85E099,51.6248108,-8.8870622,238833877,office@clonakiltycc.ie,Vocational
70960D,Coachford College,Coachford,Co Cork,NULL,NULL,Cork,Cork County Council,Patrick,O'Connor,P12DY92,51.9121113,-8.7933017,217334113,coachfordcollege@eircom.net,Vocational
70970G,Carrignafoy Community College,Carrignafoy,Cobh,Co. Cork,NULL,Cork,Cork County Council,Frank,Donovan,P24WR29,51.8552312,-8.2861028,214811325,cobhcc@corketb.ie,Vocational
70990M,Coláiste an Chraoibhin,Duntaheen Road,Fermoy,Co Cork,NULL,Cork,Cork County Council,Christy,Healy,P61VX78,52.1352332,-8.2855797,2531633,christy.healy@colchraoibhin.ie,Vocational
71000A,Colaiste Treasa,Kanturk,Co Cork,NULL,NULL,Cork,Cork County Council,John,Murphy (Acting),P51A521,52.1779891,-8.9009388,2950062,colaiste.treasa@corketb.ie,Vocational
71020G,Davis College,Summerhill,Mallow,Co Cork,NULL,Cork,Cork County Council,Stephen,Gilbert,P51H589,999,999,2221173,admin@daviscollege.ie,Vocational
71030J,McEgan College,Macroom,Co Cork,NULL,NULL,Cork,Cork County Council,Patricia,Lynam,P12E291,51.9049181,-8.9615551,2641076,info.office@mcegan.ie,Vocational
71040M,Coláiste Fionnchua,Mitchelstown,Mallow,Co.Cork,NULL,Cork,Cork County Council,Edward,Cronin,P67AK37,52.2652171,-8.2623316,2524314,info@stfanahans.ie,Vocational
71050P,St Colman's Community College,Youghal Road,Midleton,Co Cork,NULL,Cork,Cork County Council,Karen,Casey,P25W658,51.910309,-8.167486,214631696,kcasey@colmans.ie,Vocational
71101G,St Aidan's Community College,Dublin Hill,Cork,NULL,NULL,Cork,Cork City Council,Sheila,Curley,T23YE02,51.920845,-8.4626465,214309598,office@staidanscork.ie,Vocational
71102I,Schull Community College,Colla Road,Schull,NULL,NULL,Cork,Cork County Council,Brendan,nan,P81RH21,51.5224824,-9.5467039,2828315,office@schullcommunitycollege.com,Vocational
71103K,Coláiste Choilm,Ballincollig,Co. Cork,NULL,NULL,Cork,Cork County Council,Michelle,Sliney,P31NY77,51.8897506,-8.580173,214873308,office@colaistechoilm.ie,Vocational
71110H,Nagle Community College,Mahon,Blackrock,Cork,NULL,Cork,Cork City Council,Jim,Sullivan,T12WT21,51.8913627,-8.4027383,214358633,office@naglecc.ie,Vocational
71120K,Cork College Of Commerce,Morrison's Island,Cork,NULL,NULL,Cork,Cork City Council,Helen,Ryan,T12H685,51.8956432,-8.4694212,214222100,afanning@ccoc.ie,Vocational
71123Q,Terence Mac Swiney Community College,Hollyhill,Knocknaheeny,Cork,NULL,Cork,Cork City Council,Phil,O Flynn,T23DY01,51.9046339,-8.503776,214397740,tmscc@tms.corketb.ie,Vocational
71124S,Coláiste Daibhéid,Teach Buckingham,Sráid Mhuilinn na Sábhadóireachta,Corcaigh,NULL,Cork,Cork City Council,Tadhg,O Laighin,T12VP03,51.8937418,-8.4668286,214917733,oifig@colaistedaibheid.ie,Vocational
71140Q,Crana College,Crana Road,Buncrana,Co. Donegal,NULL,Donegal,Donegal County Council,Kevin,Cooley,F93D568,55.1350212,-7.4589171,749361113,cranacollege@donegaletb.ie,Vocational
71150T,Coláiste na Carraige,Carrick,Co. Donegal,NULL,NULL,Donegal,Donegal County Council,Sean,Mac Suibhne,F94AE20,54.6555012,-8.6327183,749739071,cnc@donegaletb.ie,Vocational
71180F,Abbey Vocational School,The Glebe,Donegal Town,Co.Donegal,NULL,Donegal,Donegal County Council,Geraldine,Diver,F94A409,54.648659,-8.112553,749721105,geraldinediver@donegaletb.ie,Vocational
71200I,Errigal College,Windyhall,Letterkenny,Co Donegal,NULL,Donegal,Donegal County Council,.,Charles Cannon - Acting,F92FC82,54.9634831,-7.7330026,749121047,errigalprincipal@donegaletb.ie,Vocational
71220O,Mulroy College,Milford,Letterkenny,Co Donegal,NULL,Donegal,Donegal County Council,Fiona,Temple,F92FX36,55.0926904,-7.7042511,749153346,mulroycollege@donegaletb.ie,Vocational
71230R,Deele College,Raphoe,Lifford,Co Donegal,NULL,Donegal,Donegal County Council,.,Joe Boyle,F93D237,54.8742429,-7.6034088,749145493,deelecollege@donegaletb.ie,Vocational
71240U,Finn Valley College,Drumboe Lower,Stranorlar,Lifford,Co Donegal,Donegal,Donegal County Council,Alan,Thompson,F93F663,54.8070477,-7.7748944,749131684,finnvalleycollege@donegaletb.ie,Vocational
71241W,St. Catherine's Vocational School,Donegal Road,Killybegs,Co. Donegal,NULL,Donegal,Donegal County Council,Cathal,Campbell,F94A004,54.6394431,-8.4373691,749731491,stcatherines@donegaletb.ie,Vocational
71242B,Gairm Scoil Chú Uladh,Béal an Átha Móir,An Clochán,Leifear,Co Dhún na nGall,Donegal,Donegal County Council,Fiona,Ni Chnáimhsí,F93DK03,54.8658162,-8.044247,749546133,gcu@donegaletb.ie,Vocational
71244F,Gairmscoil Mhic Diarmada,An Leadhbgarbh,Árainn Mhór,Co Dhún na nGall,NULL,Donegal,Donegal County Council,Mary,Doherty,F92YP83,54.9852872,-8.4930261,749520747,gsmhicd@donegaletb.ie,Vocational
71250A,Colaiste Cholmcille,Indreabhán,Co na Gaillimhe,NULL,NULL,Galway,Galway County Council,Peadar,Ó Sé,H91YH30,53.2446698,-9.3904651,91593119,ccc@gretb.ie,Vocational
71270G,Clárin College,"Caheroyn Road,",Athenry,Co Galway,NULL,Galway,Galway County Council,.,Tomas O Flatharta (Acting),H65AF34,53.2932854,-8.7542018,91844159,admin.clarincollege@gretb.ie,Vocational
71280J,St Brigids College,"St. Brigid's College,",Loughrea,Co. Galway,NULL,Galway,Galway County Council,Sean,Connolly,H62XF63,53.1952867,-8.55951,91841919,stbrigids@gretb.ie,Vocational
71290M,Coláiste an Chreagáin,Mountbellew,Ballinasloe,Co Galway,NULL,Galway,Galway County Council,Ann-Marie,Carroll,H53XT54,53.460975,-8.4838472,909679231,annmarie.carroll@gretb.ie,Vocational
71300M,COLÁISTE NAOMH ÉINNE,Cill Rónain,Inis Mór,Oileain Árann,Co na Gaillimhe,Galway,Galway County Council,Mícheál,ó Cúláin,H91K5K8,53.1258185,-9.6723852,9961184,priomhoide.gseinne@gretb.ie,Vocational
71310P,St Killian's College (Coláiste Chilleáin Naofa),New Inn,Ballinasloe,Co Galway,NULL,Galway,Galway County Council,Pádraig,Kelly,H53KW93,53.3009438,-8.4881895,909675811,padraic.oceallaigh@gretb.ie,Vocational
71320S,Coláiste Naomh Feichín,Corr na Mona,Co na Gaillimhe,NULL,NULL,Galway,Galway County Council,Gearoidin,Ni Chonghaile,F12YV84,53.5133372,-9.451209,949548006,eolas.feichin@gretb.ie,Vocational
71330V,Coláiste na Coiribe,Bothar Bhaile na mBúrcach,Cnoc na Cathrach,Gaillimh,NULL,Galway,Galway City Council,Stiofán,Ó Cualáin - Acting,H91Y8C2,53.2695159,-9.1236778,91592000,eolas@colaistenacoiribe.ie,Vocational
71370K,Coláiste Ghobnait,Inis Oírr,Oileáin Árann,Co.na.Gaillimhe,NULL,Galway,Galway County Council,Brid,Ni Dhonnacha,H91V215,53.063474,-9.5225605,9975016,brid.nidhonncha@gretb.ie,Vocational
71380N,Gairmscoil na bPiarsach,Ros Muc,Co na Gaillimhe,NULL,NULL,Galway,Galway County Council,Peadar,Ó Loideain,H91R838,53.3870817,-9.6107108,91574100,piarsach@gretb.ie,Vocational
71390Q,Archbishop McHale College,"Dublin Road, Tuam",Tuam,Co Galway,Galway,Galway,Galway County Council,Eileen,Delaney,H54KC66,53.5105127,-8.8454473,9324237,ann.donnellan-daly@gretb.ie,Vocational
71400Q,Galway Community College,Moneenageisha,Wellpark,Galway,NULL,Galway,Galway City Council,Brian,Melia,H91K642,53.2829121,-9.0326741,91755464,brian.melia@gretb.ie,Vocational
71410T,Athlone Community College,Retreat Road,Athlone,Co Westmeath,NULL,Westmeath,Westmeath County Council,Eileen,Donohoe,N37Y985,53.4246831,-7.9211828,906472625,info.acc@lwetb.ie,Vocational
71420W,Castlepollard Community College,Castlepollard,Mullingar,Co Westmeath,NULL,Westmeath,Westmeath County Council,Mary,Coyle,N91EF89,53.6748789,-7.3050636,449661163,admin.ccc@lwetb.ie,Vocational
71430C,Columba College,Killucan,Co Westmeath,NULL,NULL,Westmeath,Westmeath County Council,Dermot,Brady,N91ET78,53.5165218,-7.1400535,449374107,admin.cck@lwetb.ie,Vocational
71450I,Mullingar Community College,Millmount Road,Mullingar,Co. Westmeath,NULL,Westmeath,Westmeath County Council,Padraic,O'Dowd,N91TC59,53.52445,-7.3345172,449340786,admin.mcc@lwetb.ie,Vocational
71470O,Clonaslee College,Clonaslee,Co. Laois,NULL,NULL,Laois,Laois County Council,Suzanne,McMahon,R32R972,53.1455966,-7.5139869,578648044,info@clonasleecollege.ie,Vocational
71510A,Portlaoise College,Mountrath Road,Portlaoise,Co. Laois,NULL,Laois,Laois County Council,Noel,Daly,R32N795,53.0356948,-7.3137246,578621480,info@portlaoisecollege.ie,Vocational
71520D,St Fergal's College,Rathdowney,Co Laois,NULL,NULL,Laois,Laois County Council,Dominic,McEvoy,R32ED72,52.854399,-7.5770925,50546357,admin@stfc.ie,Vocational
71540J,Carrigallen Vocational School,Carrigallen,Co. Leitrim,NULL,NULL,Leitrim,Leitrim County Council,Declan,Conboy,H12TD72,53.9795381,-7.647758,494339640,VeronicaEdwards@msletb.ie,Vocational
71560P,Lough Allen College,Drumkeerin,County Leitrim,NULL,NULL,Leitrim,Leitrim County Council,Fiona,Kuehl,N41XT98,54.1692834,-8.1370099,719648017,fionakuehl@msletb.ie,Vocational
71570S,Drumshanbo Vocational School,Drumshanbo Vocational School,Drumshanbo,Co. Leitrim,NULL,Leitrim,Leitrim County Council,.,Martin Fallon,N41D623,54.0485338,-8.0464014,719641085,info@dvs.ie,Vocational
71600B,Coláiste Abbáin,Adamstown,Enniscorthy,Co Wexford,NULL,Wexford,Wexford County Council,John,Nolan (as per OR 17-18),Y21K039,52.3920602,-6.7192782,539240564,info@colaisteabbain.ie,Vocational
71610E,Bridgetown College,Bridgetown,Co Wexford,NULL,NULL,Wexford,Wexford County Council,Adrian,Power,Y35R628,52.2289421,-6.5499745,539135257,bridgetowncollege@wwetb.ie,Vocational
71620H,Bunclody Vocational College,Irish Street,Bunclody,Enniscorthy,Co Wexford,Wexford,Wexford County Council,James,Murphy,Y21FW99,52.6530531,-6.6513905,539377590,bunclodyvocationalcollege@wwetb.ie,Vocational
71630K,Enniscorthy Vocational College,Milehouse Rd,Enniscorthy,Co Wexford,NULL,Wexford,Wexford County Council,Iain,Wickham,Y21YX56,52.5098591,-6.5851425,539234185,iainwickham@wwetb.ie,Vocational
71650Q,Coláiste an Átha,Kilmuckridge,Gorey,Co Wexford,NULL,Wexford,Wexford County Council,Elizabeth,Martin,Y25C952,52.5117753,-6.2859714,539130169,info@colaisteanatha.ie,Vocational
71660T,Kennedy College,New Ross,Co Wexford,NULL,NULL,Wexford,Wexford County Council,Denise,Lennon-Hennessy,Y34YW08,52.3912839,-6.9329681,51421278,kennedycollege@wwetb.ie,Vocational
71680C,Selskar College (Coláiste Sheilscire),Westgate,Wexford,Co Wexford,NULL,Wexford,Wexford County Council,John,Connolly (Acting),Y35RY27,52.3414349,-6.4678387,539122753,selskarcollege@wwetb.ie,Vocational
71690F,Ballymahon Vocational School,Ballymahon,Co Longford,NULL,NULL,Longford,Longford County Council,Rosemary,Johnston,N39HK23,53.5682901,-7.7721137,906432211,coates.bvs@lwetb.ie,Vocational
71700F,Colaiste Mhuire,Askeaton,Co Limerick,NULL,NULL,Limerick,Limerick County Council,.,Morgan Heaphy,V94P603,52.6001928,-8.969714,61392368,colaistemhuireaskeaton@lcetb.ie,Vocational
71710I,Ardscoil Phadraig,Granard,Co Longford,NULL,NULL,Longford,Longford County Council,Rosemary,Johnston,N39RR79,53.7772429,-7.5044888,436686209,admin.apg@lwetb.ie,Vocational
71720L,Lanesboro Community College,Lanesboro,Co Longford,NULL,NULL,Longford,Longford County Council,Bernice,Martin,N39NN52,53.6692632,-7.9839016,433321139,BMaguire.lcc@lwetb.ie,Vocational
71730O,Templemichael College,Templemichael,Longford,NULL,NULL,Longford,Longford County Council,Sorcha,Nic Dhonnacha,N39DA02,53.731941,-7.7863535,433345455,admin.tcl@lwetb.ie,Vocational
71750U,Bush Post Primary School,Riverstown,Dundalk,Co Louth,NULL,Louth,Louth County Council,.,Kevin Joyce,A91W320,53.9985629,-6.18871,429376246,bushpp@lmetb.ie,Vocational
71761C,St Oliver's Community College,Rathmullen Road,Drogheda,Co. Louth,NULL,Louth,Louth County Council,.,John Halpin,A92D766,53.7142257,-6.3780914,419838390,socc@lmetb.ie,Vocational
71770D,Ó Fiaich College,Dublin Road,Dundalk,Co. Louth,NULL,Louth,Louth County Council,PAIG,McGOVERN,A91WK75,53.9861037,-6.392203,429331398,info@ofi.ie,Vocational
71780G,Scoil Ui Mhuiri,Barn Road,Dunleer,Co. Louth,NULL,Louth,Louth County Council,Eilish,Flood,A92FY96,53.8263672,-6.3820163,416851344,ScoilUiMhuiri@lmetb.ie,Vocational
71790J,Desmond College,Station Road,Newcastle West,Co. Limerick,NULL,Limerick,Limerick County Council,Vourneen,Gavin-Barry,V42DK84,52.4559271,-9.0522728,6962205,info@desmondcollege.ie,Vocational
71840V,Colaiste Chiarain,Croom,Co. Limerick,NULL,NULL,Limerick,Limerick County Council,Gerard,O'Sullivan,V35W727,52.5208434,-8.7138012,61397700,admin@cco.ie,Vocational
71850B,Hazelwood College,Dromcollogher,Co. Limerick,NULL,NULL,Limerick,Limerick County Council,Brendan,Burke,P56HF60,52.3433302,-8.9033912,6383121,hazelc@hazelc.ie,Vocational
71950F,St Peter's College,Dunboyne,Co. Meath,NULL,NULL,Meath,Meath County Council,Deirder,Maye,A86W864,53.4185002,-6.468379,18252552,stpeterscollege@lmetb.ie,Vocational
71960I,Community College Dunshaughlin,Dunshaughlin,Co Meath,NULL,NULL,Meath,Meath County Council,Shane,Foley,A85TY22,53.5138304,-6.5497252,18259137,dunshauglincc@lmetb.ie,Vocational
71970L,Coláiste Clavin,Enfield Road,Longwood,Co Meath,NULL,Meath,Meath County Council,Margaret,Deegan,A83DX96,53.4523753,-6.9161616,469555018,Colaisteclavin@lmetb.ie,Vocational
71980O,O'Carolan College,Nobber,Co Meath,NULL,NULL,Meath,Meath County Council,Cathal,Rogers,A82PK51,53.8173128,-6.7419012,469052177,ocarolancollege@lmetb.ie,Vocational
71990R,St Oliver Post Primary,Oldcastle,Co. Meath,NULL,NULL,Meath,Meath County Council,Brendan,Corcoran,A82RK76,53.7719608,-7.1625026,498541180,stoliverpostprimary@lmetb.ie,Vocational
71991T,Coláiste Pobail Rath Cairn,Ráth Chairn,"Áth Buí,",Co. na Mí,NULL,Meath,Meath County Council,Macdara,O' Duíllearga,C15FK26,53.6200683,-6.860762,469432722,cprc@lmetb.ie,Vocational
72010I,Beaufort College,Trim Rd,Navan,Co Meath,NULL,Meath,Meath County Council,Angela,Crowcock,C15PY53,53.6435793,-6.6828793,469028915,beaufortcollege@lmetb.ie,Vocational
72020L,Moyne College,Ballina,County Mayo,NULL,NULL,Mayo,Mayo County Council,Siobhan,Towey,F26W884,54.113022,-9.1482886,9621472,info@moynecollege.ie,Vocational
72050U,St. Brendan's College,Belmullet,Co. Mayo,NULL,NULL,Mayo,Mayo County Council,Michael,Walshe (Acting),F26C782,54.2148735,-9.9789984,9781437,stbrendanscollege@msletb.ie,Vocational
72100J,St. Tiernan's College,Mullinmore Street,Crossmolina,Ballina,Co. Mayo,Mayo,Mayo County Council,Conor,O'Reilly,F26WK25,54.0974732,-9.3158409,9631236,TiernansCollege@msletb.ie,Vocational
72130S,St. Patrick's College,Lacken Cross,Killala,Co Mayo,NULL,Mayo,Mayo County Council,.Brian,Jennings,F26NW52,54.2294299,-9.2879252,9634177,info@lackencross.ie,Vocational
72140V,Colaiste Chomain,Rossport,Ballina,Co Mayo,NULL,Mayo,Mayo County Council,Collete,UíLiaim,F26YR99,54.2860887,-9.8025432,9788940,eolas@gcr.ie,Vocational
72170H,Ballybay Community College,Ballybay,Co Monaghan,NULL,NULL,Monaghan,Monaghan County Council,Moyah,Lynch,A75V882,54.123694,-6.901818,429741093,info@ballybaycc.ie,Vocational
72171J,Largy College,Analore Rd,Clones,Co Monaghan,NULL,Monaghan,Monaghan County Council,S.Magennis,None,H23FP82,54.1791884,-7.2247265,4751132,info@largy.ie,Vocational
72180K,Inver College,Carrickmacross,Co Monaghan,NULL,NULL,Monaghan,Monaghan County Council,Cormac,Flynn,A81V342,53.9835693,-6.7161023,429661282,info@invercollege.ie,Vocational
72190N,Castleblayney College,Dublin Road,Castleblayney,Co Monaghan,NULL,Monaghan,Monaghan County Council,.,Niall McVeigh,A75NP76,54.1145498,-6.7325176,429740066,info@cblayneycollege.com,Vocational
72210Q,Beech Hill College,Tirkeenan,Monaghan,Co Monaghan,NULL,Monaghan,Monaghan County Council,Patrick,McArdle,H18P997,54.2445023,-6.962661,4781200,info@bhc.ie,Vocational
72220T,Dungarvan College-Coláiste Dhun Garbhán,Youghal Road,Dungarvan,Waterford,NULL,Waterford,Waterford County Council,Danny,Cunningham,X35PV34,52.0871838,-7.6283517,5841184,dungarvancollege@wwetb.ie,Vocational
72230W,St Declan's Community College,Kilmacthomas,Co Waterford,NULL,NULL,Waterford,Waterford County Council,Grainne,Walsh,X42W702,52.2047906,-7.4212633,51294100,stdeclanscc@Wwetb.ie,Vocational
72241E,St Paul's Community College,Browne's Road,Waterford City,NULL,NULL,Waterford,Waterford City Council,Fiona,McDonnell,X91TX24,52.2517223,-7.1377099,51355816,fionamcdonnell@wwetb.ie,Vocational
72280O,Elphin Community College,Elphin,Castlerea,Co Roscommon,NULL,Roscommon,Roscommon County Council,Anne,Marie Egan,F45NF83,53.8449345,-8.2028541,719635031,maria.lee@gretb.ie,Vocational
72290R,Roscommon Community School,Lisnamult,Roscommon,Co. Roscommon,NULL,Roscommon,Roscommon County Council,.,Frank Chambers,F42P959,53.6249985,-8.2000222,906626670,info.roscommon@gretb.ie,Vocational
