,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,County,Local Authority,Eircode,Principal Name,Email,Phone,DEIS (Y/N),Gaeltacht Area Location (Y/N),Island Location (Y/N),Fee Paying School (Y/N),Pupil Attendance Type,School Gender - Post Primary,Irish Classification - Post Primary,Post Primary School Type,Ethos/Religion,FEMALE,MALE,TOTAL (2019-20),School,Unnamed: 0,FullAddress,Latitude,Longitude
606,76150V,Coláiste Pobail Acla,Achill Sound,Westport,Co. Mayo,,Mayo,Mayo County Council,F28CP49,Paul Fahy (as per OR 2017-18),info@cpacla.ie,09845139,Y,Y,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,111.0,124.0,235,"Coláiste Pobail Acla, Achill Sound, Westport",606,"Polranny, Achill, Co. Mayo, Ireland",53.932702,-9.913690599999999
607,76152C,Kishoge Community College,Thomas Omer Way,Lucan,,,Dublin,South Dublin County Council,K78DC89,Niall Hare,reception@kishogecc.ie,016877482,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,411.0,428.0,839,"Kishoge Community College, Thomas Omer Way, Lucan",607,"Thomas Omer Way, Kishoge, Lucan, Co. Dublin, Ireland",53.3362276,-6.4245941
608,76173K,"Colaiste na Mí, Navan, Co. Meath",Johnstown Educational Campus,Johnstown,Navan,Co Meath,Meath,Meath County Council,C15T028,Patrick Carr (Acting),colaistenami@lmetb.ie,0469012130,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,260.0,467.0,727,"Colaiste na Mí, Navan, Co. Meath, Johnstown Educational Campus, Johnstown",608,"Johnstown Educational Campus, Johnstown, Navan, Co. Meath, CO15 T028, Ireland",53.6432835,-6.6491566
609,76193Q,Maynooth Community College,Maynooth Education Campus,Moyglare Road,Maynooth,Co. Kildare,Kildare,Kildare County Council,W23HC66,Siobhain McCauley,principal@mcc.edu.ie,01 628 6060,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,294.0,315.0,609,"Maynooth Community College, Maynooth Education Campus, Moyglare Road",609,"Maynooth Education Campus, Moyglare Road, Maynooth, Co. Kildare, Ireland",53.3843289,-6.5954684
610,76194S,Naas Community College,Craddockstown Road,Naas,Co Kildare,,Kildare,Kildare County Council,W91PD87,Ciarán Keegan,naascc@kwetb.ie,045888817,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,215.0,261.0,476,"Naas Community College, Craddockstown Road, Naas",610,"Craddockstown Rd, Cradockstown North, Naas, Co. Kildare, Ireland",53.207033,-6.651251999999999
611,76195U,Coláiste Chú Chulainn,Lower Marshes,Dundalk,CO. LOUTH,,Louth,Louth County Council,A91F75P,Tomas Sharkey,colaistecc@lmetb.ie,0429354553,N,N,N,N,Day,Mixed,Some pupils taught all subjects through Irish,Vocational,MULTI DENOMINATIONAL,261.0,353.0,614,"Coláiste Chú Chulainn, Lower Marshes, Dundalk",611,"Marshes Lower, Dundalk, Co. Louth, Ireland",54.0005944,-6.3956471
612,76196W,DE LACY COLLEGE,Education Campus,Killegland,Ashbourne,,Meath,Meath County Council,A84VF79,Janice Corrigan,colaistedelacy@lmetb.ie,015241075,N,N,N,N,,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,296.0,257.0,553,"DE LACY COLLEGE, Education Campus, Killegland",612,"Ashbourne Education Campus, Killegland, Ashbourne, Co. Meath, A84 VF79, Ireland",53.5114491,-6.4155032
613,76213T,Lusk Community College,Raheny Lane,Rathmore Road,Lusk,Co. Dublin,Dublin,Fingal County Council,K45WN50,Pat Cole,patrickcole@luskcc.ie,015130000,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,321.0,364.0,685,"Lusk Community College, Raheny Lane, Rathmore Road",613,"Raheny Cl, Rathmore Rd, Raheny, Lusk, Co. Dublin, Ireland",53.5297103,-6.156544299999999
614,76233C,Coláiste Bhaile Chláir,Claregalway,Co. Galway,,,Galway,Galway County Council,H91D635,Mr Alan Mongey,info.claregalway@gretb.ie,091799001,N,Y,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,560.0,596.0,1156,"Coláiste Bhaile Chláir, Claregalway, Co. Galway",614,"Lakeview, Claregalway, Co. Galway, Ireland",53.3351311,-8.9365793
615,76273O,Gaelcholáiste Charraig Ui Leighin,Gaelcholáiste Charraig Uí Leighin,Tigh Pháirc an Uisce,Carraig Uí Leighin,,Cork,Cork County Council,P43YW71,Donnchadh Ó Cróinín,eolas@gaelcholaistecul.ie,021 4374217,N,N,N,N,,Mixed,All pupils taught all subjects through Irish,Vocational,MULTI DENOMINATIONAL,64.0,54.0,118,"Gaelcholáiste Charraig Ui Leighin, Gaelcholáiste Charraig Uí Leighin, Tigh Pháirc an Uisce",615,"Carrigaline Middle, Carrigaline, Co. Cork, Ireland",51.8163846,-8.3863567
616,76293U,Kingswood Community College,Ballymount Road,Kingswood Heights,Tallaght,Dublin 24,Dublin,South Dublin County Council,D24X2FP,Deborah Dunne,info@kingswoodcc.ie,01 4517793,N,N,N,U,,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,240.0,282.0,522,"Kingswood Community College, Ballymount Road, Kingswood Heights",616,"Kingswood Ave, Kingswood Heights, Dublin 24, Ireland",53.3066255,-6.372162299999999
617,76313A,Coláiste Dún an Rí,Kingscourt,Co Cavan,,,Cavan,Cavan County Council,A82K5W7,MR. FERGAL BOYLE,info@dunanricollege.ie,0429698294,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,191.0,213.0,404,"Coláiste Dún an Rí, Kingscourt, Co Cavan",617,"Lower Main St Lower Main St, Lisasturrin, Kingscourt, Co. Cavan, A82 C3Y9, Ireland",53.9097387,-6.8058147
618,76333G,Carrigtwohill Post Primary,Unit A2,Fota Business Park,Carrigtwohill,Co. Cork,Cork,Cork County Council,T45XN23,Lorna Dundon,Carrigtwohillcc@corketb.ie,0214853488,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,CATHOLIC,84.0,187.0,271,"Carrigtwohill Post Primary, Unit A2, Fota Business Park",618,"Killacloyne, Carrigtohill, Co. Cork, Ireland",51.9100964,-8.2937738
619,76334I,St Joseph's Community College,St. Joseph's Community College,Charlestown,,,Mayo,Mayo County Council,F12WE19,John Killeen,info@sjcc.ie,094-9254211,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,CATHOLIC,72.0,83.0,155,"St Joseph's Community College, St. Joseph's Community College, Charlestown",619,"Lowpark Ave, Lowpark, Charlestown, Co. Mayo, Ireland",53.960325,-8.801421999999999
620,76394D,Clonturk College,Swords Road,Whitehall,Dublin 9,,Dublin,Dublin City Council,D09W5K6,Ms. Wesleigh O'Hagan,info@clonturkcc.cdetb.ie,015596960,N,N,N,U,,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,153.0,190.0,343,"Clonturk College, Swords Road, Whitehall",620,"Plunket College, 9, Ireland, Swords Rd, Whitehall, Dublin, Co. Dublin, Ireland",53.37945449999999,-6.2482653
621,76414G,Thomond Community College,Moylish Park,Moylish,Limerick,,Limerick,Limerick City Council,V94V342,Ms. Norma O' Brien,info@thomondcc.ie,061 452422,Y,N,N,U,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,306.0,221.0,527,"Thomond Community College, Moylish Park, Moylish",621,"Dooneen Rd, Woodview Park, Limerick, Ireland",52.6784932,-8.6489581
622,76454S,Griffeen Community College,c/o Kishogue Community College,Thomas Omar Way,Lucan,Co. Dublin,Dublin,South Dublin County Council,K78DC89,Rachel McGrath,rachelmcgrath@griffeencc.ie,016212392,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,48.0,90.0,138,"Griffeen Community College, c/o Kishogue Community College, Thomas Omar Way",622,"Care of, Kishoge Community College, Ninth Lock Rd, Kishoge, Lucan, Co. Dublin, Ireland",53.3360403,-6.4267664
623,76474B,Dunamase College (Colaiste Dhun Masc),Railway Street,Portlaoise,Co. Laois,,Laois,Laois County Council,,Aoife Elster,info@dunamasecollege.ie,0578664696,N,N,N,N,Day,Mixed,Some pupils taught all subjects through Irish,Vocational,MULTI DENOMINATIONAL,94.0,90.0,184,"Dunamase College (Colaiste Dhun Masc), Railway Street, Portlaoise",623,"Railway St, Moneyballytyrrell, Portlaoise, Co. Laois, Ireland",53.03487519999999,-7.298974100000001
624,76475D,Swords Community College,Jugback Lane,Swords,,,Dublin,Fingal County Council,K67YN93,Mark McDonald,info@swordscc.ie,01 22 33 067,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,68.0,98.0,166,"Swords Community College, Jugback Lane, Swords",624,"Jugback Ln, Castlefarm, Swords, Co. Dublin, Ireland",53.4655394,-6.2258002
625,76476F,Mungret Community College,Old Stables Mungret College,Dromdarrig,Mungret,Co Limerick,Limerick,Limerick City Council,V94ND77,Liam O'Mahony,liam.omahoney@lcetb.ie,087 6742940,N,N,N,N,Day,Mixed,No subjects taught through Irish,Vocational,MULTI DENOMINATIONAL,164.0,196.0,360,"Mungret Community College, Old Stables Mungret College, Dromdarrig",625,"Dromdarrig, Mungret Woods, Co. Limerick, Ireland",52.6311513,-8.681267499999999
626,76534Q,Coláiste Naomh Eoin,Inis Meáin,Oileáin Árann,,,Galway,Galway County Council,,UNKNOWN,eolas.eoin@gretb.ie,09973991,N,Y,Y,N,Day,Mixed,All pupils taught all subjects through Irish,Vocational,MULTI DENOMINATIONAL,22.0,18.0,40,"Coláiste Naomh Eoin, Inis Meáin, Oileáin Árann",626,"Carrownlisheen, Co. Galway, Ireland",53.0871596,-9.5890719
627,81001I,Newpark Comprehensive School,Newtown Park Avenue,Blackrock,Co Dublin,,Dublin,Dun Laoghaire Rathdown,A94EV70,MR. EOIN NORTON,office@newparkschool.ie,012883724,N,N,N,N,Day,Mixed,No subjects taught through Irish,Comprehensive,CHURCH OF IRELAND,405.0,456.0,861,"Newpark Comprehensive School, Newtown Park Avenue, Blackrock",627,"Newtownpark Ave, Newtown Castlebyrn, Blackrock, Co. Dublin, Ireland",53.28988760000001,-6.173119
628,81002K,Mount Temple Comprehensive School,Malahide Road,Dublin 3,,,Dublin,Dublin City Council,D03DX79,MR. LIAM C WEGIMONT,office@mounttemple.ie,018336984,N,N,N,N,Day,Mixed,No subjects taught through Irish,Comprehensive,CHURCH OF IRELAND,443.0,446.0,889,"Mount Temple Comprehensive School, Malahide Road, Dublin 3",628,"128 Malahide Road, Malahide Road, Clontarf, Dublin 3, D03 DX79, Ireland",53.3689601,-6.2225975
629,81005Q,St Aidans Comprehensive School,Cootehill,Co Cavan,,,Cavan,Cavan County Council,H16CV91,MISS MARY ANN SMITH,office@staidans.ie,0495552161,N,N,N,N,Day,Mixed,No subjects taught through Irish,Comprehensive,INTER DENOMINATIONAL,271.0,241.0,512,"St Aidans Comprehensive School, Cootehill, Co Cavan",629,"Station Rd, Lisnasaran, Cootehill, Co. Cavan, Ireland",54.066793,-7.062664
630,81006S,Tarbert Comprehensive School,Tarbert,Listowel,Co Kerry,,Kerry,Kerry County Council,V31WD66,MR. RICHARD PRENDIVILLE,admin@tarbertcs.ie,06836105,N,N,N,N,Day,Mixed,No subjects taught through Irish,Comprehensive,INTER DENOMINATIONAL,256.0,247.0,503,"Tarbert Comprehensive School, Tarbert, Listowel",630,"Tarbert, Kilpadogue, Tarbert, Co. Kerry, V31 WD66, Ireland",52.5739636,-9.3837619
631,81007U,Shannon Comprehensive School,Shannon,Co Clare,,,Clare,Clare County Council,V14Y434,MS. MARY COSTELLO,info@shannoncomp.ie,061361428,N,N,N,N,Day,Mixed,No subjects taught through Irish,Comprehensive,INTER DENOMINATIONAL,265.0,291.0,556,"Shannon Comprehensive School, Shannon, Co Clare",631,"Tullyglass, Tullyvarraga, Shannon, Co. Clare, Ireland",52.7049505,-8.879698399999999
632,81008W,Ashton School,Blackrock Road,Cork,,,Cork,Cork City Council,T12AF50,MR. ADRIAN JOHN LANDEN,principal@ashton.ie,0214966044,N,N,N,N,Day,Mixed,No subjects taught through Irish,Comprehensive,CHURCH OF IRELAND,247.0,279.0,526,"Ashton School, Blackrock Road, Cork",632,"27 Boreenmanna Rd, Belfield Abbey, Ballintemple, Cork, Ireland",51.8925892,-8.4518135
633,81009B,Boherbue Comprehensive School,Boherbue,Mallow,Co Cork,,Cork,Cork County Council,P51TK28,MS. VERA LEADER,office@boherbuecs.com,02976032,N,N,N,N,Day,Mixed,No subjects taught through Irish,Comprehensive,INTER DENOMINATIONAL,172.0,152.0,324,"Boherbue Comprehensive School, Boherbue, Mallow",633,"Boherbue, Derrynatubbrid, Mallow, Co. Cork, Ireland",52.1595794,-9.0622809
634,81010J,St Columba's Comprehensive School,Glenties,Co Donegal,,,Donegal,Donegal County Council,F94C421,MS. FRANCES BONER,admin@glentiescomp.com,0749551172,N,N,N,N,Day,Mixed,No subjects taught through Irish,Comprehensive,INTER DENOMINATIONAL,178.0,206.0,384,"St Columba's Comprehensive School, Glenties, Co Donegal",634,"Glenties, Gortnamucklagh, Glenties, Co. Donegal, Ireland",54.7994626,-8.2861285
635,81011L,The Royal and Prior School,RAPHOE,Lifford,Co. Donegal,,Donegal,Donegal County Council,F93T298,DR. HOWARD TERENCE WELCH,principal@royalandprior.ie,0749145389,Y,N,N,N,Mixed,Mixed,No subjects taught through Irish,Comprehensive,CHURCH OF IRELAND,301.0,237.0,538,"The Royal and Prior School, RAPHOE, Lifford",635,"Raphoe Demesne, Co. Donegal, Ireland",54.87607440000001,-7.5898148
636,81012N,Scoil Chuimsitheach Chiaráin,An Cheathrú Rua,Co na Gaillimhe,,,Galway,Galway County Council,H91N267,MR. SEAN MARTIN MACDONNCHA,scoilcc@eircom.net,091595215,Y,Y,N,N,Day,Mixed,All pupils taught all subjects through Irish,Comprehensive,INTER DENOMINATIONAL,173.0,195.0,368,"Scoil Chuimsitheach Chiaráin, An Cheathrú Rua, Co na Gaillimhe",636,"Barraderry, Carraroe, Co. Galway, Ireland",53.2622391,-9.597817899999999
637,81013P,St. Clare's Comprehensive School,Manorhamilton,Co. Leitrim,,,Leitrim,Leitrim County Council,F91FY82,MR. JOHN T IRWIN,office@stclarescomprehensive.ie,0719855087,N,N,N,N,Day,Mixed,No subjects taught through Irish,Comprehensive,INTER DENOMINATIONAL,268.0,239.0,507,"St. Clare's Comprehensive School, Manorhamilton, Co. Leitrim",637,"Manorhamilton, Co. Leitrim, F91 FY82, Ireland",54.30192090000001,-8.1769719
638,81014R,Crescent College Comprehensive,Dooradoyle Rd,Dooradoyle,Limerick,,Limerick,Limerick City Council,V94W6W8,MR. DIARMUID MULLINS,info@crescentsj.com,061229655,N,N,N,N,Day,Mixed,No subjects taught through Irish,Comprehensive,INTER DENOMINATIONAL,432.0,450.0,882,"Crescent College Comprehensive, Dooradoyle Rd, Dooradoyle",638,"Dooradoyle Rd, Dooradoyle, Co. Limerick, Ireland",52.63662859999999,-8.640789
639,81016V,East Glendalough School,Station Road,Wicklow Town,Co. Wicklow,,Wicklow,Wicklow County Council,A67PC52,MR. CRAIG PETRIE,info@egs.ie,040469608,N,N,N,N,Day,Mixed,No subjects taught through Irish,Comprehensive,CHURCH OF IRELAND,174.0,193.0,367,"East Glendalough School, Station Road, Wicklow Town",639,"Station Rd, Glebe, Wicklow, A67 PC52, Ireland",52.98731919999999,-6.054447499999999
640,81017A,TRINITY COMPREHENSIVE SCHOOL,BALLYMUN ROAD,DUBLIN 9,,,Dublin,Dublin City Council,D09TN22,MS. FRANCES L NEARY,info@trinitycomp.ie,018428356,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Comprehensive,CATHOLIC,200.0,292.0,492,"TRINITY COMPREHENSIVE SCHOOL, BALLYMUN ROAD, DUBLIN 9",640,"Ballymun Rd, Santry, Dublin 9, Ireland",53.3935792,-6.2634717
641,91301D,Holy Family Community School,Kilteel Road,Rathcoole,Co Dublin,,Dublin,South Dublin County Council,D24FT54,MISS BRENDA KELLY,info@hfcs.ie,014580766,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,441.0,522.0,963,"Holy Family Community School, Kilteel Road, Rathcoole",641,"Kilteel Rd, Rathcoole, Co. Dublin, Ireland",53.27763909999999,-6.4794318
642,91302F,Phobailscoil Iosolde,Palmerstown,Dublin 20,,,Dublin,South Dublin County Council,D20P236,MS. LORRAINE O'TOOLE,office@palmerstowncs.ie,016265991,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,317.0,449.0,766,"Phobailscoil Iosolde, Palmerstown, Dublin 20",642,"Kennelsfort Rd Upper, Johnstown, Dublin, Ireland",53.3488913,-6.3768632
643,91305L,Ballinteer Community School,Broadford Road,Ballinteer,Dublin 16,,Dublin,Dun Laoghaire Rathdown,D16XF79,MR. DAVID O'CONNELL,admin@ballinteercs.ie,012988195,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,164.0,243.0,407,"Ballinteer Community School, Broadford Road, Ballinteer",643,"Broadford Rd, Ballinteer, Dublin, Ireland",53.280917,-6.260267499999999
644,91310E,Cabinteely Community School,Johnstown Road,Cabinteely,Dublin 18,,Dublin,Dun Laoghaire Rathdown,D18VH73,CLARE GARRIHY,office@cabinteelycs.ie,012852137,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,195.0,261.0,456,"Cabinteely Community School, Johnstown Road, Cabinteely",644,"Johnstown Rd, Kilbogget, Cabinteely, Co. Dublin, D18 VH73, Ireland",53.26188699999999,-6.146344000000001
645,91315O,Scoil Phobail Chuil Mhin,Cluain Saileach,Baile Atha Cliath 15,,,Dublin,Fingal County Council,D15FW97,MISS PATRICIA MC PHILLIPS,principal@coolminecs.ie,018214141,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,463.0,561.0,1024,"Scoil Phobail Chuil Mhin, Cluain Saileach, Baile Atha Cliath 15",645,"Coolmine Cl, Clonsilla, Blanchardstown, Dublin 15, D15 PRX8, Ireland",53.3886899,-6.39567
646,91316Q,Blakestown Community School,Sheepmoor Avenue,Blanchardstown,Dublin 15,,Dublin,Fingal County Council,D15F978,MR. FRANCIS MILLING,admin@blakestowncs.ie,018215522,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,241.0,189.0,430,"Blakestown Community School, Sheepmoor Avenue, Blanchardstown",646,"Sheepmoor Ave, Blakestown, Dublin, D15 F978, Ireland",53.3960209,-6.4027919
647,91318U,The Donahies Community School,Streamville Road,Dublin 13,,,Dublin,Dublin City Council,D13YN77,MR. PETER KEOHANE,office@donahiescs.ie,018473522,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,224.0,243.0,467,"The Donahies Community School, Streamville Road, Dublin 13",647,"Streamville Rd, Grange, Dublin 13, Ireland",53.3929374,-6.1732944
648,91324P,Portmarnock Community School,Carrickhill Road,Portmarnock,Co Dublin,,Dublin,Fingal County Council,D13F766,MS. EITHNE DEENEY,office@portmarnockcommunityschool.ie,018038056,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,408.0,520.0,928,"Portmarnock Community School, Carrickhill Road, Portmarnock",648,"Carrickhill Rd Upper, Carrickhill, Portmarnock, Co. Dublin, Ireland",53.431772,-6.137490000000001
649,91325R,Malahide Community School,Broomfield,Malahide,Co. Dublin,,Dublin,Fingal County Council,K36PR28,MR. DAVID HAYES,office@malahidecs.ie,018463244,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,614.0,605.0,1219,"Malahide Community School, Broomfield, Malahide",649,"Broomfield, Malahide, Co. Dublin, Ireland",53.43826499999999,-6.1526534
650,91330K,Holy Child Community School,Pearse St,Sallynoggin,Co Dublin,,Dublin,Dun Laoghaire Rathdown,A96E0C9,MS. VALERIE MAHER,office@holychildcs.ie,012855334,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,124.0,122.0,246,"Holy Child Community School, Pearse St, Sallynoggin",650,"Pearse Street Sallynoggin, Thomastown, Dublin, A96 E0C9, Ireland",53.2758792,-6.1372059
651,91332O,St Marks Community School,Cookstown Rd,Tallaght,Dublin 24,,Dublin,South Dublin County Council,D24VW22,MISS EITHNE COYNE,office@stmarkcs.ie,014519399,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,420.0,414.0,834,"St Marks Community School, Cookstown Rd, Tallaght",651,"Cookstown Rd, Tallaght, Dublin 24, Ireland",53.2921814,-6.3884213
652,91335U,Tallaght Community School,Balrothery,Tallaght,Dublin 24,,Dublin,South Dublin County Council,D24X759,MR. AIDAN LYNCH,office@tallaghtcs.ie,014515566,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,348.0,417.0,765,"Tallaght Community School, Balrothery, Tallaght",652,"Balrothery, Dublin 24, D24 X759, Ireland",53.2938464,-6.3378926
653,91336W,Old Bawn Community School,Old Bawn,Tallaght,Dublin 24,,Dublin,South Dublin County Council,D24HP38,MS. URSULA MCCABE,obcsdays@eircom.net,014520566,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,449.0,469.0,918,"Old Bawn Community School, Old Bawn, Tallaght",653,"Oldbawn, Tallaght, Dublin 24, Ireland",53.2832867,-6.3711983
654,91337B,Killinarden Community School,Killinarden,Tallaght,Dublin 24,,Dublin,South Dublin County Council,D24RF70,MISS ADRIENNE WHELAN,mainoffice@killinardencs.ie,014527447,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,244.0,242.0,486,"Killinarden Community School, Killinarden, Tallaght",654,"Killinarden, Tallaght, Dublin, Ireland",53.2761232,-6.397042099999999
655,91338D,St Aidan's Community School,Brookfield,Tallaght,Dublin 24,,Dublin,South Dublin County Council,D24XA46,MRS. KAREN QUIGLEY,office@sacs.ie,014524677,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,207.0,231.0,438,"St Aidan's Community School, Brookfield, Tallaght",655,"Brookview Ave, Jobstown, Dublin 24, Ireland",53.2866014,-6.412533
656,91339F,Hartstown Community School,Hartstown,Clonsilla,Dublin 15,,Dublin,Fingal County Council,D15X049,MS. LUCIA GRIFFIN,info@hartstowncs.com,018207863,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,535.0,595.0,1130,"Hartstown Community School, Hartstown, Clonsilla",656,"Hartstown Rd, Blakestown, Dublin 15, D15 X049, Ireland",53.39669079999999,-6.416326499999999
657,91342R,Pobalscoil Neasáin,Baldoyle,Dublin 13,,,Dublin,Fingal County Council,D13F9K2,MR. PATRICK MCKENNA,office@psn.ie,018063092,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,306.0,468.0,774,"Pobalscoil Neasáin, Baldoyle, Dublin 13",657,"School Ln, Baldoyle, Dublin 13, D13 F6N3, Ireland",53.3920796,-6.1310121
658,91343T,St. Tiernan's Community School,Parkvale,Balally,Dublin 16,,Dublin,Dun Laoghaire Rathdown,D16KW26,MR. DECLAN HUGHES,runai@tiernans.ie,012953224,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,160.0,185.0,345,"St. Tiernan's Community School, Parkvale, Balally",658,"Parkvale, Balally, Dublin, Co. Dublin, D16 KW26, Ireland",53.28167910000001,-6.2387565
659,91344V,Rosmini Community School,All Hallows College Campus DCU,Gracepark Road,Dublin 9,,Dublin,Dublin City Council,,MR. DARRELL DARCY,info@rosmini.ie,086 0122104,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,37.0,83.0,120,"Rosmini Community School, All Hallows College Campus DCU, Gracepark Road",659,"9 Grace Park Rd, Drumcondra, Dublin 9, Ireland",53.3710821,-6.245012099999999
660,91351S,Bailieborough Community School,Bailieborough,Co Cavan,,,Cavan,Cavan County Council,A82P585,MRS. MARTHA LIEVENS,info@bailieborocs.ie,0862617833,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,306.0,330.0,636,"Bailieborough Community School, Bailieborough, Co Cavan",660,"Virginia Rd, Tanderagee, Bailieborough, Co. Cavan, Ireland",53.9135139,-6.9735109
661,91356F,Tullow Community School,The Mullawn,Tullow,Co. Carlow,,Carlow,Carlow County Council,R93DT20,MR. PAUL THORNTON,info@tullowcs.ie,0599151473,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,359.0,348.0,707,"Tullow Community School, The Mullawn, Tullow",661,"Templeowen, The Mullawn, Co. Carlow, R93 DT20, Ireland",52.7994902,-6.732312599999999
662,91360T,Community School,Castlecomer,Co Kilkenny,,,Kilkenny,Kilkenny County Council,R95AF5Y,MR. SEAMUS O'CONNOR,office@castlecomercs.com,0564441447,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,266.0,290.0,556,"Community School, Castlecomer, Co Kilkenny",662,"Castlecomer, Co. Kilkenny, Ireland",52.8037899,-7.215698199999999
663,91371B,Leixlip Community School,Celbridge Road,Leixlip,Co. Kildare,,Kildare,Kildare County Council,W23RW14,MR. JOSEPH SWEENEY,info@colaistechiarain.com,016243226,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,289.0,324.0,613,"Leixlip Community School, Celbridge Road, Leixlip",663,"Celbridge Rd, Leixlip, Co. Kildare, Ireland",53.3641176,-6.4989427
664,91372D,Scoil Mhuire Community School,Clane,Naas,Co Kildare,,Kildare,Kildare County Council,W91PD79,MR. PADRAIG NOLAN,scoilmhuire.clane@gmail.com,045868121,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,563.0,596.0,1159,"Scoil Mhuire Community School, Clane, Naas",664,"Prosperous Rd, Crockaun Commons, Clane, Co. Kildare, W91 PD79, Ireland",53.29182249999999,-6.698033799999999
665,91376L,St. Kilian's Community School,Ballywaltrim,Bray,Co. Wicklow,,Wicklow,Wicklow County Council,A98PP76,MR. JOHN MURPHY,accounts@stkilianscs.com,012828126,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,201.0,244.0,445,"St. Kilian's Community School, Ballywaltrim, Bray",665,"School's Road, Ballywaltrim, Bray, Co. Wicklow, Ireland",53.1854668,-6.126797799999999
666,91386O,Ballincollig Community School,Innishmore,Ballincollig,Co. Cork,,Cork,Cork County Council,P31E030,MISS KATHLEEN LOWNEY,Kathleen.Lowney@balcs.ie,0214871740,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,436.0,384.0,820,"Ballincollig Community School, Innishmore, Ballincollig",666,"Innishmore, Ballincollig, Co. Cork, Ireland, Ballincollig, Co. Cork, Ireland",51.890044,-8.6023365
667,91387Q,Beara Community School,Castletownbere,Beara,Co Cork,,Cork,Cork County Council,P75AH74,MS. PAULINE HURLEY,info@bearacs.ie,02770177,N,N,N,N,Day,Mixed,No subjects taught through Irish,Community,INTER DENOMINATIONAL,169.0,157.0,326,"Beara Community School, Castletownbere, Beara",667,"Beara Community School, Cametringane, Castletown-Bearhaven, Co. Cork, Ireland",51.6476511,-9.9135981
