,Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Local Authority Description,Phone No.,Principal Name,Email,Eircode,Gaeltacht Indicator (Y/N),DEIS (Y/N),Island (Y/N),Irish Classification Description,Ethos Description,Female,Male,Total,School,FullAddress,Latitude,Longitude
2866,20163Q,S.N EOIN BAISTE,Fatima,Castletown,Dundalk,Co. Louth,Louth,Louth County Council,429331575,Roisin Hughes,scoileoinbaiste@gmail.com,A91XN28,N,Y,N,No subjects through Irish,Catholic,88.0,97.0,185,"S.N EOIN BAISTE, Fatima, Castletown","Castletown Road, Fatima Ct, Castletown, Dundalk, Co. Louth, Ireland",54.0182505,-6.4257103
2867,20164S,NAVAN EDUCATE TOGETHER NS,Commons Road,Navan,Co. Meath,,Meath,Meath County Council,469060305,Eva Boyle,etnavan@hotmail.com,C15KV84,N,N,N,No subjects through Irish,Multi Denominational,112.0,113.0,225,"NAVAN EDUCATE TOGETHER NS, Commons Road, Navan","Commons Rd, Duffsland, Navan, Co. Meath, Ireland",53.6408376,-6.7037093
2868,20165U,GAELSCOIL MHOSHIOLOG,An Chraobach,Bóthar Charn an Bhua,Guaire,Co. Loch Garman,Wexford,Wexford County Council,539484028,Carol Scott,eolasgm@gmail.com,Y25VP62,N,N,N,All subjects through Irish,Inter Denominational,114.0,106.0,220,"GAELSCOIL MHOSHIOLOG, An Chraobach, Bóthar Charn an Bhua","An Chraobhach, Co. Éire, Goreyhill, Gorey, Co. Wexford, Ireland",52.6744762,-6.315665999999999
2869,20166W,GRIFFEEN VALLEY EDUCATE TOGETHER NS,Griffeen Glen Boulevard,Lucan,Co. Dublin,,Dublin,South Dublin County Council,16219819,Andrea Burke Khan,info@gvet.ie,K78YA07,N,N,N,No subjects through Irish,Multi Denominational,265.0,269.0,534,"GRIFFEEN VALLEY EDUCATE TOGETHER NS, Griffeen Glen Boulevard, Lucan","Griffeen Glen Blvd, Esker South, Lucan, Co. Dublin, Ireland",53.3409892,-6.4333519
2870,20167B,GAELSCOIL EIRNE,Fearainn an Bhaile,Béal Átha Seannaigh,Co. Dhún na nGall,,Donegal,Donegal County Council,719822780,Conchubhar Friel,gaelscoileirne@gmail.com,F94KP62,N,N,N,All subjects through Irish,Inter Denominational,28.0,20.0,48,"GAELSCOIL EIRNE, Fearainn an Bhaile, Béal Átha Seannaigh",.,.,.
2871,20168D,GLASNEVIN EDUCATE TOGETHER NS,Griffith Avenue,Glasmevim,Dublin 11,,Dublin,Dublin City Council,18572086,Roisin Conlon,scoilgetns@gmail.com,D11A2YT,N,N,N,No subjects through Irish,Multi Denominational,156.0,185.0,341,"GLASNEVIN EDUCATE TOGETHER NS, Griffith Avenue, Glasmevim","Griffith Avenue, Botanic, Glasnevin, Co. Dublin, D11 A2YT, Ireland",53.3788113,-6.268875899999999
2872,20169F,CASTLETOWN N.S,Elderfield Building,Castletown,Co. Laois,,Laois,Laois County Council,578732307,Ms Jemma Lynch,castletownprimary@gmail.com,R32VX78,N,N,N,No subjects through Irish,Catholic,66.0,54.0,120,"CASTLETOWN N.S, Elderfield Building, Castletown","Churchfield, Castletown, Co. Laois, Ireland",52.9774693,-7.4995604
2873,20170N,SCOIL CHOILL MHIC THOMAISIN,Rossmore,Kilmacthomas,Co. Waterford,,Waterford,Waterford County Council,51294627,Sheila Creed,kilmacps@gmail.com,X42YY36,N,Y,N,No subjects through Irish,Catholic,73.0,63.0,136,"SCOIL CHOILL MHIC THOMAISIN, Rossmore, Kilmacthomas","Rossmore, Kilmacthomas, Co. Waterford, Ireland",52.2072022,-7.413871399999999
2874,20171P,ARDEE EDUCATE TOGETHER N.S,Dundalk Road,Ardee,Co. Louth,,Louth,Louth County Council,416853774,Ann Middleton,ardeeetns@gmail.com,A92TW80,N,N,N,No subjects through Irish,Multi Denominational,63.0,88.0,151,"ARDEE EDUCATE TOGETHER N.S, Dundalk Road, Ardee","Dundalk Rd, Cappocksgreen, Ardee, Co. Louth, Ireland",53.8629168,-6.5415226
2875,20172R,ST JOSEPHS N S,Kingscourt,Co. Cavan,,,Cavan,Cavan County Council,429667528,Mairéad Corbally,stjosephg.ias@eircom.net,A82RD70,N,N,N,No subjects through Irish,Catholic,203.0,220.0,423,"ST JOSEPHS N S, Kingscourt, Co. Cavan","4A Mount St Joseph, Lisasturrin, Kingscourt, Co. Cavan, A82 K2P1, Ireland",53.9016296,-6.803997799999999
2876,20173T,ST ANNES PRIMARY SCHOOL,Kilcarrig Avenue,Tallaght,Dublin 24,,Dublin,South Dublin County Council,14515850,Mary Cullen,stannesps@gmail.com,D24DHY5,N,Y,N,No subjects through Irish,Catholic,187.0,190.0,377,"ST ANNES PRIMARY SCHOOL, Kilcarrig Avenue, Tallaght","Kilcarrig Ave, Fettercairn, Dublin 24, Ireland",53.2908045,-6.3920534
2877,20174V,Scoil Éanna,Ballybay,Co. Monaghan,,,Monaghan,Monaghan County Council,429741172,Catherine Flanagan,oifig@scoileanna.ie,A75XD83,N,N,N,No subjects through Irish,Catholic,104.0,119.0,223,"Scoil Éanna, Ballybay, Co. Monaghan","Ballybay, Cornamucklaglass, Ballybay, Co. Monaghan, Ireland",54.1302849,-6.8987037
2878,20175A,LIMERICK CITY EAST EDUCATE TOGETHER,Dromdarrig,Mungret,County Limerick,,Limerick,Limerick County Council,61300889,Michael Quealy,letsnationalschool@gmail.com,V94ND77,N,N,N,No subjects through Irish,Multi Denominational,169.0,206.0,375,"LIMERICK CITY EAST EDUCATE TOGETHER, Dromdarrig, Mungret","R859, Moneteen, Limerick, Ireland",52.63256029999999,-8.6843176
2879,20176C,RUSH AND LUSK EDUCATE TOGETHER NS,Raheny Lane,Rathmore Road,Lusk,Co. Dublin,Dublin,Fingal County Council,18430525,Noel Reilly,office@ralet.ie,K45WC62,N,N,N,No subjects through Irish,Multi Denominational,210.0,243.0,453,"RUSH AND LUSK EDUCATE TOGETHER NS, Raheny Lane, Rathmore Road","Raheny Cl, Rathmore Rd, Raheny, Lusk, Co. Dublin, K45 WC62, Ireland",53.5289231,-6.156797999999999
2880,20177E,NEWBRIDGE EDUCATE TOGETHER,Green Road,The Curragh,Co. Kildare,,Kildare,Kildare County Council,45445710,Eimear Carey,admin@netns.ie,R56YC60,N,N,N,No subjects through Irish,Multi Denominational,187.0,213.0,400,"NEWBRIDGE EDUCATE TOGETHER, Green Road, The Curragh","Green Rd, Curragh, Co. Kildare, R56 YC60, Ireland",53.1587657,-6.810312
2881,20178G,WICKLOW EDUCATE TOGETHER NS,Hawkstown Road,Wicklow Town,,,Wicklow,Wicklow County Council,40462786,Sinéad Watson,info@wicklowetns.com,A67E371,N,N,N,No subjects through Irish,Multi Denominational,175.0,236.0,411,"WICKLOW EDUCATE TOGETHER NS, Hawkstown Road, Wicklow Town","Rockey Road, Wicklow, Ireland",52.9800179,-6.0642815
2882,20179I,ST STEPHENS NS,Johnstown,Navan,Co. Meath,,Meath,Meath County Council,469020080,Fidelma Nolan,ststephens2@eircom.net,C15AE03,N,N,N,No subjects through Irish,Catholic,488.0,437.0,925,"ST STEPHENS NS, Johnstown, Navan","Johnstown, Navan, Co. Meath, Ireland",53.6427807,-6.6480661
2883,20180Q,SCOIL NAOMH EOIN,Clonmagadden Valley,Windtown,Navan,Co. Meath,Meath,Meath County Council,469075803,Enda Lydon,scoilnaomheoin@eircom.net,C15HK75,N,Y,N,No subjects through Irish,Catholic,165.0,188.0,353,"SCOIL NAOMH EOIN, Clonmagadden Valley, Windtown","Clonmagadden Valley, Clonmagaddan, Navan, Co. Meath, C15 HK75, Ireland",53.6691407,-6.6951372
2884,20181S,GAELSCOIL AN RAITHIN,An Drom Dearg,Mungairit,Luimneach,,Limerick,Limerick City Council,6130882,Michele Ní Fhátharta,gaelscoilanraithin@gmail.com,V941X59,N,N,N,All subjects through Irish,Catholic,182.0,151.0,333,"GAELSCOIL AN RAITHIN, An Drom Dearg, Mungairit","Dromderrig, Moneteen, Mungret, Co. Limerick, V94 1X59, Ireland",52.6347384,-8.6839596
2885,20182U,ST ENDAS NS,Kilnadur,Dunmanway,Co. Cork,,Cork,Cork County Council,238855051,Catherine Murray,info@stendasns.ie,P47FV44,N,N,N,No subjects through Irish,Catholic,13.0,27.0,40,"ST ENDAS NS, Kilnadur, Dunmanway","Kilnadur, Co. Cork, Ireland",51.78547529999999,-9.0938271
2886,20186F,CASTAHEANY EDUCATE TOGETHER NS,Ongar Village,Dublin 15,,,Dublin,Fingal County Council,16467484,Sheila Gaughan,castaheanyeducatetogether@gmail.com,D15AE61,N,Y,N,No subjects through Irish,Multi Denominational,204.0,201.0,405,"CASTAHEANY EDUCATE TOGETHER NS, Ongar Village, Dublin 15","Ongar Village, Dublin, Ireland",53.3934487,-6.4426549
2887,20187H,DIVINE MERCY SENIOR NATIONAL SCHOOL,Balgaddy,Lucan,Co. Dublin,,Dublin,South Dublin County Council,14670689,Regina Halpin,dmbalgaddysns@gmail.com,K78A393,N,N,N,No subjects through Irish,Catholic,248.0,256.0,504,"DIVINE MERCY SENIOR NATIONAL SCHOOL, Balgaddy, Lucan","Griffeen Ave, Balgaddy, Lucan, Co. Dublin, Ireland",53.3402332,-6.4149449
2888,20188J,MULLINGAR EDUCATE TOGETHER,Rathgowan,Mullingar,Co. Westmeath,,Westmeath,Westmeath County Council,449348005,Róisín Nic Tighearnáin,mullingar.etns@gmail.com,N91N722,N,Y,N,No subjects through Irish,Multi Denominational,181.0,225.0,406,"MULLINGAR EDUCATE TOGETHER, Rathgowan, Mullingar","Mullingar Educate Together, Rathgowan, Mullingar, Co. Westmeath, Ireland",53.5257212,-7.364304300000001
2889,20189L,TULLAMORE EDUCATE TOGETHER NS,Collins Lane,Tullamore,Co. Offaly,,Offaly,Offaly County Council,579361190,Cathy Lyons,cathylyons2@gmail.com,R35AX22,N,N,N,No subjects through Irish,Multi Denominational,114.0,106.0,220,"TULLAMORE EDUCATE TOGETHER NS, Collins Lane, Tullamore","Collins Ln, Muiniagh, Tullamore, Co. Offaly, R35 AX22, Ireland",53.2918007,-7.5032085
2890,20190T,HOLY TRINITY NATIONAL SCHOOL,Glencairn,Leopardstown,Dublin 18,,Dublin,Dun Laoghaire Rathdown,12063664,James Tobin,office@holytrinity.ie,D18YV91,N,N,N,No subjects through Irish,Catholic,250.0,328.0,578,"HOLY TRINITY NATIONAL SCHOOL, Glencairn, Leopardstown","Glencairn, Glencairn Dr, Carmanhall and Leopardstown, Dublin, Ireland",53.2618279,-6.1969666
2891,20191V,ST PETERS NATIONAL SCHOOL,"St Peters NS, COI",Maynooth Rd,Dunboyne,Meath,Meath,Meath County Council,18026741,Rachael Blennerhassett,stpetersnsdunboyne@gmail.com,A86RX96,N,N,N,No subjects through Irish,Church Of Ireland,33.0,42.0,75,"ST PETERS NATIONAL SCHOOL, St Peters NS, COI, Maynooth Rd","St. Peter's, NS B0E 3B0, Canada",45.65603400000001,-60.87506999999999
2892,20192A,GAELSCOIL ÁTHA Í,An Tom Ard,Baile Átha Í,Co. Chill Dara,,Kildare,Kildare County Council,598634200,Sorcha Ní Mhistéil,gaelscoil_athai@yahoo.ie,R14DP92,N,N,N,All subjects through Irish,Inter Denominational,111.0,84.0,195,"GAELSCOIL ÁTHA Í, An Tom Ard, Baile Átha Í","Tomard, Athy, Co. Kildare, Ireland",53.00346469999999,-6.986316599999999
2893,20193C,SCOIL MOCHEALLÓG,Glenfield Road,Kilmallock,Co. Limerick,,Limerick,Limerick County Council,6398319,Michael O'Connor,info@kns.ie,V35H324,N,N,N,No subjects through Irish,Catholic,152.0,157.0,309,"SCOIL MOCHEALLÓG, Glenfield Road, Kilmallock","Scoil Mocheallóg, Sheares St, Abbeyfarm, Kilmallock, Co. Limerick, Ireland",52.4033129,-8.5778708
2894,20194E,St. John the Evangelist National School,Station Road,Adamstown Castle,Co. Dublin,,Dublin,South Dublin County Council,16540358,Anthony McGinley,office@stjohntheevangelistns.com,K78P212,N,N,N,No subjects through Irish,Catholic,207.0,189.0,396,"St. John the Evangelist National School, Station Road, Adamstown Castle","Adamstown, Co. Dublin, Ireland",53.3360701,-6.460897999999999
2895,20196I,Scoil Íosagáin,Church Road,Ballybunion,,,Kerry,Kerry County Council,6827272,Ita Walsh,scoiliosagain11@gmail.com,V31F208,N,Y,N,No subjects through Irish,Catholic,101.0,75.0,176,"Scoil Íosagáin, Church Road, Ballybunion","Church Rd, Dromin, Ballybunion, Co. Kerry, Ireland",52.5134602,-9.669397
2896,20197K,St Johns NS,Railway Road,Kenmare,Co. Kerry,,Kerry,Kerry County Council,646642598,Denis Courtney,info@stjohnskenmare.ie,V93DX76,N,N,N,No subjects through Irish,Catholic,201.0,222.0,423,"St Johns NS, Railway Road, Kenmare","Railway Rd, Killowen, Kenmare, Co. Kerry, Ireland",51.8847313,-9.5818572
2897,20199O,Scoil Chuimín & Caitríona,Carrowmanagh,Oughterard,Co. Galway,,Galway,Galway County Council,91552074,Micheál Ó Domhnaill,modomhnaill@gmail.com,H91PN35,N,Y,N,No subjects through Irish,Catholic,119.0,119.0,238,"Scoil Chuimín & Caitríona, Carrowmanagh, Oughterard","26 Carrowmanagh, Oughterard, Co. Galway, H91 TAC8, Ireland",53.4298172,-9.3273808
2898,20200T,RATOATH SENIOR NS,Fairyhouse Road,Ratoath,Co. Meath,,Meath,Meath County Council,18254470,Loraine Butler,admin@ratoathsns.ie,A85ET29,N,N,N,No subjects through Irish,Catholic,251.0,244.0,495,"RATOATH SENIOR NS, Fairyhouse Road, Ratoath","Fairyhouse Rd, Jamestown, Ratoath, Co. Meath, Ireland",53.5024166,-6.465027
2899,20201V,TYRRELSTOWN EDUCATE TOGETHER NATIONAL SCHOOL,Hollywood Road,Tyrellstown,Dublin 15,,Dublin,Fingal County Council,18272172,Tim Stapleton,info@tetns.ie,D15X938,N,N,N,No subjects through Irish,Multi Denominational,301.0,274.0,575,"TYRRELSTOWN EDUCATE TOGETHER NATIONAL SCHOOL, Hollywood Road, Tyrellstown","Tyrrelstown Way, Tyrrelstown, Dublin, D15 X938, Ireland",53.42293600000001,-6.3816752
2900,20202A,BALBRIGGAN EDUCATE TOGETHER NS,Hamlet Lane,Balbriggan,Co. Dublin,,Dublin,Fingal County Council,16904635,Fintan McCutcheon,balbrigganetns@eircom.net,K32NT02,N,Y,N,No subjects through Irish,Multi Denominational,200.0,201.0,401,"BALBRIGGAN EDUCATE TOGETHER NS, Hamlet Lane, Balbriggan","Hamlet Lane, Moylaragh, Clogheder, Balbriggan, Co. Dublin, Ireland",53.6115353,-6.2064365
2901,20203C,MOHILL N S,Mohill,Co. Leitrim,,,Leitrim,Leitrim County Council,719631774,Brid Cahill,mohillns@gmail.com,N41X762,N,Y,N,No subjects through Irish,Catholic,90.0,114.0,204,"MOHILL N S, Mohill, Co. Leitrim","Mohill, Co. Leitrim, Ireland",53.9218288,-7.865310099999999
2902,20204E,Scoil Mháirtin,Kilworth,Co. Cork,,,Cork,Cork County Council,2527446,Eileen O'Keeffe,kilworthnationalschool@gmail.com,P61D504,N,N,N,No subjects through Irish,Catholic,145.0,151.0,296,"Scoil Mháirtin, Kilworth, Co. Cork","Knockanohill, Co. Cork, Ireland",52.1730132,-8.2405618
2903,20205G,ST MARYS PARISH PRIMARY SCHOOL,Dublin Road,Drogheda,Co. Louth,,Louth,Louth County Council,419845374,John Weir,office@smpps.ie,A92XD80,N,N,N,No subjects through Irish,Catholic,536.0,578.0,1114,"ST MARYS PARISH PRIMARY SCHOOL, Dublin Road, Drogheda","Bryanstown, Drogheda, Co. Louth, Ireland",53.7078739,-6.339306
2904,20208M,St Coen's National School,Merrymeeting,Rathnew,Co. Wicklow,,Wicklow,Wicklow County Council,40431200,Miriam Cahill,info@stcoens.ie,A67CY68,N,Y,N,No subjects through Irish,Catholic,125.0,151.0,276,"St Coen's National School, Merrymeeting, Rathnew","Merrymeeting, Rathnew, Co. Wicklow, Ireland",52.9898963,-6.079195599999999
2905,20210W,S N EOIN POL II,Eoghanacht,Inis Mor,Oileain Arann,Co na Gaillimhe,Galway,Galway County Council,9961266,MAIRE NI BHRIAIN,scoileoinpol11@eircom.net,H91W727,Y,N,Y,All subjects through Irish,Catholic,11.0,13.0,24,"S N EOIN POL II, Eoghanacht, Inis Mor","Inishmore, Co. Galway, Ireland",53.1288715,-9.7196641
2906,20211B,CLAREGALWAY EDUCATE TOGETHER N S,Lakeview,Claregalway,Co. Galway,,Galway,Galway County Council,91798356,Teresa Claffey,info@claregalwayet.ie,H91F5EH,Y,Y,N,No subjects through Irish,Multi Denominational,88.0,96.0,184,"CLAREGALWAY EDUCATE TOGETHER N S, Lakeview, Claregalway","Lakeview, Claregalway, Co. Galway, H91 F5EH, Ireland",53.33663439999999,-8.938214
2907,20212D,GAELSCOIL LIATROMA,Cora Droma Rúisc,Co. Liatroma,,,Leitrim,Leitrim County Council,719671464,Caitríona Nic Chonchradha,gaelscoilliatroma@gmail.com,N41V2H5,N,N,N,All subjects through Irish,Catholic,69.0,77.0,146,"GAELSCOIL LIATROMA, Cora Droma Rúisc, Co. Liatroma","Castlecara Rd, Aghameeny, Carrick-On-Shannon, Co. Leitrim, N41 V2H5, Ireland",53.9525154,-8.0683688
2908,20214H,GOREY EDUCATE TOGETHER NS,Kilnahue Lane,Gorey,Co. Wexford,,Wexford,Wexford County Council,539489662,Raymond Swan,info@goreyeducatetogether.ie,Y25DX23,N,N,N,No subjects through Irish,Multi Denominational,180.0,236.0,416,"GOREY EDUCATE TOGETHER NS, Kilnahue Lane, Gorey","Kilnahue Ln, Carnew Rd, Goreyhill, Wexford, Ireland",52.6751094,-6.3166552
2909,20215J,ST PAULS NS,Jamestown,Ratoath,Co. Meath,,Meath,Meath County Council,18257246,Morag McGowan,office@stpaulsratoath.ie,A85DX54,N,N,N,No subjects through Irish,Catholic,341.0,324.0,665,"ST PAULS NS, Jamestown, Ratoath","Jamestown, Ratoath, Co. Meath, Ireland",53.50263289999999,-6.45255
2910,20216L,SCOIL OILIBHEIR NAOFA,Coast Road,Bettystown,Co. Meath,,Meath,Meath County Council,419887431,Maria White,office@bettystownschool.ie,A92H762,N,N,N,No subjects through Irish,Catholic,195.0,223.0,418,"SCOIL OILIBHEIR NAOFA, Coast Road, Bettystown","Bettystown, Ninch, Bettystown, Co. Meath, Ireland",53.6916819,-6.2439928
2911,20217N,MOUNT PALMER NATIONAL SCHOOL,Kincon,Kilfian,Ballina,Co. Mayo,Mayo,Mayo County Council,9632225,Carmel Orme,mountpalmernats@gmail.com,F26VW89,N,Y,N,No subjects through Irish,Catholic,15.0,23.0,38,"MOUNT PALMER NATIONAL SCHOOL, Kincon, Kilfian","Kincon, Springhill, Ballina, Co. Mayo, Ireland",54.2044308,-9.3060639
2912,20218P,St Columbanus National School,Loughlinstown Drive,Dun Laoghaire,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,12821220,Peter McCabe,officestcolumbanusns@gmail.com,A96X0D1,N,Y,N,No subjects through Irish,Catholic,51.0,57.0,108,"St Columbanus National School, Loughlinstown Drive, Dun Laoghaire","Loughlinstown Dr, Ballybrack, Co. Dublin, Ireland",53.2475688,-6.1307448
2913,20219R,ST PAULS B N S,Church Road,Waterford,,,Waterford,Waterford City Council,51376752,Suzanne Griffin,stpaulwaterford@gmail.com,X91YX80,N,Y,N,No subjects through Irish,Catholic,,227.0,227,"ST PAULS B N S, Church Road, Waterford","Church Road, Lisduggan, Waterford, X91 YX80, Ireland",52.2495914,-7.1344439
2914,20220C,GAELSCOIL UI EARCAIN,Bóthar Ghlas an Éin,Fionnghlas,Baile Átha Cliath 11,,Dublin,Dublin City Council,18643544,Leah Ní Mhaoláin,eolas@gsue.ie,D11VP44,N,Y,N,All subjects through Irish,Catholic,158.0,186.0,344,"GAELSCOIL UI EARCAIN, Bóthar Ghlas an Éin, Fionnghlas","Bóthar Ghlas an Éin, Finglas East, Dublin 11, Ireland",53.387154,-6.29081
2915,20222G,SCOIL CHUIL AODHA BARR D INSE,Cúil-Aodha,Máighchromtha,Co. Chorcaí,,Cork,Cork County Council,2645342,Aindrias Ó Coinceannáin,cuilaodhans@eircom.net,P12A660,Y,N,N,All subjects through Irish,Catholic,48.0,37.0,85,"SCOIL CHUIL AODHA BARR D INSE, Cúil-Aodha, Máighchromtha","Coolea, Co. Cork, Ireland",51.9282765,-9.2177972
2916,20223I,GAELSCOIL EISCIR RIADA,Bóthar an Ghrifín,Leamhcán,Co. Átha Cliath,,Dublin,South Dublin County Council,16210342,Damhnait Uí Ruairc,gaelscoil_eiscirriada@yahoo.ie,K78YX77,N,N,N,All subjects through Irish,Catholic,228.0,229.0,457,"GAELSCOIL EISCIR RIADA, Bóthar an Ghrifín, Leamhcán","Griffeen Rd, Glebe, Lucan, Co. Dublin, Ireland",53.34821179999999,-6.436361199999999
2917,20224K,GAELSCOIL AN TSLI DALA,An Bealach Mór,Co. Laoise,,,Laois,Laois County Council,50541810,Róise Uí Chnáimhín,gaelscoilshlidala@gmail.com,R32TN62,N,N,N,All subjects through Irish,Inter Denominational,24.0,22.0,46,"GAELSCOIL AN TSLI DALA, An Bealach Mór, Co. Laoise","Lackey, Ballaghmore, Co. Laois, Ireland",52.96379,-7.689829999999999
2918,20229U,NAGLE RICE PRIMARY SCHOOL,Milltown,Killarney,Co. Kerry,,Kerry,Kerry County Council,669767625,William Fell,office@naglericens.com,V93EV97,N,N,N,No subjects through Irish,Catholic,188.0,181.0,369,"NAGLE RICE PRIMARY SCHOOL, Milltown, Killarney","R563, Ballyoughtragh North, Co. Kerry, Ireland",52.1421415,-9.7110336
2919,20230F,SCOIL PHADRAIG,Newport Road,Westport,Co Mayo,,Mayo,Mayo County Council,9826027,Fergus Seoighe,info@spw.ie,F28V023,N,N,N,No subjects through Irish,Catholic,172.0,166.0,338,"SCOIL PHADRAIG, Newport Road, Westport","Newport Road, Deerpark East, Westport, Co. Mayo, F28 V023, Ireland",53.8050922,-9.522867699999999
2920,20231H,ST BENEDICTS NATIONAL SCHOOL,Ongar,Dublin 15,,,Dublin,Fingal County Council,16403011,Padraic Flesk,office.stbenedicts@gmail.com,D15PY61,N,N,N,No subjects through Irish,Catholic,342.0,314.0,656,"ST BENEDICTS NATIONAL SCHOOL, Ongar, Dublin 15","Ongar, Hansfield, Dublin 15, Ireland",53.3932465,-6.4409598
2921,20233L,SCOIL CHAITRÍONA,Main Street,Cappamore,Co. Limerick,,Limerick,Limerick County Council,61381774,Nicola Blake,secretarysch1@gmail.com,V94HH98,N,N,N,No subjects through Irish,Catholic,30.0,36.0,66,"SCOIL CHAITRÍONA, Main Street, Cappamore","Cappamore, Turagh, Cappamore, Co. Limerick, Ireland",52.6135889,-8.3414974
2922,20235P,LETTERKENNY EDUCATE TOGETHER,Kiltoy,Letterkenny,Co. Donegal,,Donegal,Donegal County Council,749103794,Áine Fabisiak,info@letterkennyetns.ie,F92XCW9,N,Y,N,No subjects through Irish,Multi Denominational,135.0,158.0,293,"LETTERKENNY EDUCATE TOGETHER, Kiltoy, Letterkenny","Kiltoy, Letterkenny, Co. Donegal, Ireland",54.96192079999999,-7.707052299999999
2923,20237T,GAELSCOIL RIADA,Bóthar Ráithin,Baile Átha an Rí,Co. na Gaillimhe,,Galway,Galway County Council,91850638,Sinéad Kilkenny,riada06@gmail.com,H65WD54,N,N,N,All subjects through Irish,Catholic,139.0,134.0,273,"GAELSCOIL RIADA, Bóthar Ráithin, Baile Átha an Rí","North Gate Street, Gorteenacra, Athenry, Co. Galway, Ireland",53.3013047,-8.7471139
2924,20238V,Gaelscoil An Choillín,An Coillín Mór,An Muileann gCearr,Co. na hIarmhí,,Westmeath,Westmeath County Council,449330443,Lorraine Ní Sceallaigh,gaelscoilanchoillin@eircom.net,N91NW80,N,N,N,All subjects through Irish,Inter Denominational,36.0,37.0,73,"Gaelscoil An Choillín, An Coillín Mór, An Muileann gCearr","Lynn Rd, Ballinderry, Mullingar, Co. Westmeath, N91 W6RP, Ireland",53.51735919999999,-7.341958099999999
2925,20239A,GAELSCOIL UI DRISCEOIL,Dunkettle,Glanmire,Co. Cork,,Cork,Cork County Council,215003301,Siobhán Ní Chatháin,gaelscoiluidrisceoil@gmail.com,T45YY19,N,N,N,All subjects through Irish,Multi Denominational,244.0,221.0,465,"GAELSCOIL UI DRISCEOIL, Dunkettle, Glanmire","Dunkettle, Glanmire, Co. Cork, Ireland",51.9068589,-8.3842877
2926,20241K,Scoil Choilm Community NS,Porterstown Road,Clonsilla,Dublin 15,,Dublin,Fingal County Council,18213352,Treasa Lowe,scoilchoilm@sccns.ie,D15X582,N,Y,N,No subjects through Irish,Multi Denominational,414.0,461.0,875,"Scoil Choilm Community NS, Porterstown Road, Clonsilla","Porterstown Rd, Porterstown, Dublin 15, Ireland",53.376026,-6.407973800000001
2927,20242M,BLESSINGTON EDUCATE TOGETHER,Red Lane,Blessington,Co. Wicklow,,Wicklow,Wicklow County Council,45865281,Jonathan Kinsella,office@betns.ie,W91DK23,N,N,N,No subjects through Irish,Multi Denominational,22.0,31.0,53,"BLESSINGTON EDUCATE TOGETHER, Red Lane, Blessington","Red Lane, Blessington, Co. Wicklow, Ireland",53.1791642,-6.5067263
2928,20243O,GAEL SCOIL NA LOCHANNA,Cill Moloma,Baile Coimín,Co. Chill Mhantáin,,Wicklow,Wicklow County Council,45900525,Seán Ó Cearnaigh,priomhoide@gaelscoilnalochanna.com,W91A403,N,N,N,All subjects through Irish,Inter Denominational,115.0,83.0,198,"GAEL SCOIL NA LOCHANNA, Cill Moloma, Baile Coimín","Cill Moloma, Kilmalum, Blessington, Co. Wicklow, Ireland",53.1616575,-6.5523548
2929,20245S,Ennistymon National School,Ennistymon,Co. Clare,,,Clare,Clare County Council,657071722,HELEN SHERIDAN,etynns@gmail.com,V95YP46,N,Y,N,No subjects through Irish,Catholic,34.0,38.0,72,"Ennistymon National School, Ennistymon, Co. Clare","Lahinch Rd Next to, Scoil Mhuire, Ardnacullia North, Ennistimon, Co. Clare, V95 YP46, Ireland",52.9381697,-9.2986051
2930,20246U,THE BILLIS NATIONAL SCHOOL,Billis,Glaslough,Co. Monaghan,,Monaghan,Monaghan County Council,4788245,Ruth Williamson,billisns@gmail.com,H18RR22,N,N,N,No subjects through Irish,Church Of Ireland,13.0,24.0,37,"THE BILLIS NATIONAL SCHOOL, Billis, Glaslough","Billis, Glaslough, Co. Monaghan, H18 RR22, Ireland",54.2948958,-6.9347696
2931,20247W,Scoil Ghrainne Community National School,Phibblestown,Clonee,Dublin 15,,Dublin,Fingal County Council,16402418,Kenneth Scully,s.ghrainne@gmail.com,D15Y5PR,N,N,N,No subjects through Irish,Multi Denominational,313.0,350.0,663,"Scoil Ghrainne Community National School, Phibblestown, Clonee","Hansfield, Clonee, Co. Dublin, D15 Y5PR, Ireland",53.3975581,-6.437074399999999
2932,20252P,GAELSCOIL BHAILE BRIGIN,Fearann an Chaisleáin,Baile Brigín,Co. Átha Cliath,,Dublin,Fingal County Council,18416036,Clodagh Ní Mhaoilchiaráin,oifig@gsbhailebrigin.ie,K32YT18,N,N,N,All subjects through Irish,Inter Denominational,247.0,223.0,470,"GAELSCOIL BHAILE BRIGIN, Fearann an Chaisleáin, Baile Brigín","Castleland Ct, Castleland, Balbriggan, Co. Dublin, Ireland",53.6004678,-6.1789644
2933,20255V,Bunscoil McAuley Rice,Kilkenny Road,Callan,Co. Kilkenny,,Kilkenny,Kilkenny County Council,567725674,John Moloney,mcauleyrice@gmail.com,R95E840,N,N,N,No subjects through Irish,Catholic,213.0,234.0,447,"Bunscoil McAuley Rice, Kilkenny Road, Callan","Kilkenny Rd, Callan North, Co. Kilkenny, Ireland",52.548233,-7.387130199999999
